id_cliente;id_empresa;cargo;departamento;e-mail
64;909;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente64@empresa909.com
65;582;Médico (a);Recursos Humanos;cliente65@empresa582.com
66;128;Analista;Administrativo;cliente66@empresa128.com
67;130;Gerente;Recursos Humanos;cliente67@empresa130.com
68;132;Gerente;Recursos Humanos;cliente68@empresa132.com
69;592;Gerente;Recursos Humanos;cliente69@empresa592.com
70;708;Técnico;Segurança do Trabalho;cliente70@empresa708.com
71;689;Analista;Recursos Humanos;cliente71@empresa689.com
72;139;Técnico;Segurança do Trabalho;cliente72@empresa139.com
73;601;Gerente;Recursos Humanos;cliente73@empresa601.com
74;141;Gerente;Jurídico;cliente74@empresa141.com
75;143;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente75@empresa143.com
76;5;Gerente;Fiscal;cliente76@empresa5.com
77;7;Coordenador (a) / Supervisor (a);Garantia / Controle de Qualidade;cliente77@empresa7.com
78;142;Gerente;Recursos Humanos;cliente78@empresa142.com
79;13;Gerente;Recursos Humanos;cliente79@empresa13.com
80;16;Analista;Recursos Humanos;cliente80@empresa16.com
81;256;Diretor (a) / Vice Presidente;Recursos Humanos;cliente81@empresa256.com
82;30;Especialista;Controladoria;cliente82@empresa30.com
83;669;Analista;Recursos Humanos;cliente83@empresa669.com
84;48;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente84@empresa48.com
85;49;Gerente;Recursos Humanos;cliente85@empresa49.com
86;52;Analista;Recursos Humanos;cliente86@empresa52.com
87;62;Coordenador (a) / Supervisor (a);Fiscal;cliente87@empresa62.com
88;65;Gerente;Fiscal;cliente88@empresa65.com
89;68;Gerente;Recursos Humanos;cliente89@empresa68.com
90;670;Analista;Recursos Humanos;cliente90@empresa670.com
91;661;Analista;Recursos Humanos;cliente91@empresa661.com
92;85;Gerente;Recursos Humanos;cliente92@empresa85.com
93;426;Gerente;Recursos Humanos;cliente93@empresa426.com
94;88;Assistente / Assessor (a) / Auxiliar;Recursos Humanos;cliente94@empresa88.com
95;100;Analista;Recursos Humanos;cliente95@empresa100.com
96;59;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente96@empresa59.com
97;457;Diretor (a) / Vice Presidente;Recursos Humanos;cliente97@empresa457.com
98;633;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente98@empresa633.com
99;106;Gerente;Projetos;cliente99@empresa106.com
100;112;Gerente;Recursos Humanos;cliente100@empresa112.com
101;114;Gerente;Jurídico;cliente101@empresa114.com
102;501;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente102@empresa501.com
103;118;Gerente;Fiscal;cliente103@empresa118.com
104;121;Gerente;Recursos Humanos;cliente104@empresa121.com
105;584;Coordenador (a) / Supervisor (a);Fiscal;cliente105@empresa584.com
106;128;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente106@empresa128.com
107;129;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente107@empresa129.com
108;592;Coordenador (a) / Supervisor (a);Projetos;cliente108@empresa592.com
109;139;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente109@empresa139.com
110;5;Contador (a);Financeiro;cliente110@empresa5.com
111;8;Técnico;Segurança do Trabalho;cliente111@empresa8.com
112;11;Analista;Recursos Humanos;cliente112@empresa11.com
113;16;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente113@empresa16.com
114;18;Analista;Recursos Humanos;cliente114@empresa18.com
115;19;Gerente;Recursos Humanos;cliente115@empresa19.com
116;93;Gerente;Recursos Humanos;cliente116@empresa93.com
117;33;Assistente / Assessor (a) / Auxiliar;Presidência;cliente117@empresa33.com
118;23;Gerente;Recursos Humanos;cliente118@empresa23.com
119;90;Coordenador (a) / Supervisor (a);Tecnologia da Informação;cliente119@empresa90.com
120;28;Gerente;Recursos Humanos;cliente120@empresa28.com
121;30;Analista;Recursos Humanos;cliente121@empresa30.com
122;286;Analista;Recursos Humanos;cliente122@empresa286.com
123;37;Analista;Jurídico;cliente123@empresa37.com
124;44;Gerente;Recursos Humanos;cliente124@empresa44.com
125;47;Analista;Recursos Humanos;cliente125@empresa47.com
126;52;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente126@empresa52.com
127;54;Analista;Recursos Humanos;cliente127@empresa54.com
128;1027;Analista;Recursos Humanos;cliente128@empresa1027.com
129;56;Coordenador (a) / Supervisor (a);Segurança do Trabalho;cliente129@empresa56.com
130;60;Gerente;Recursos Humanos;cliente130@empresa60.com
131;62;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente131@empresa62.com
132;65;Especialista;Recursos Humanos;cliente132@empresa65.com
133;66;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente133@empresa66.com
134;661;Gerente;Recursos Humanos;cliente134@empresa661.com
135;612;Coordenador (a) / Supervisor (a);Segurança do Trabalho;cliente135@empresa612.com
136;85;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente136@empresa85.com
137;426;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente137@empresa426.com
138;102;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente138@empresa102.com
139;633;Gerente;Recursos Humanos;cliente139@empresa633.com
140;106;Coordenador (a) / Supervisor (a);Segurança do Trabalho;cliente140@empresa106.com
141;111;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente141@empresa111.com
142;851;Gerente;Recursos Humanos;cliente142@empresa851.com
143;107;Gerente;Recursos Humanos;cliente143@empresa107.com
144;538;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente144@empresa538.com
145;884;Gerente;Recursos Humanos;cliente145@empresa884.com
146;118;Analista;Recursos Humanos;cliente146@empresa118.com
147;121;Técnico;Segurança do Trabalho;cliente147@empresa121.com
148;567;Diretor (a) / Vice Presidente;Comercial / Vendas;cliente148@empresa567.com
149;584;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente149@empresa584.com
150;126;Gerente;Recursos Humanos;cliente150@empresa126.com
151;582;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente151@empresa582.com
152;708;Gerente;Recursos Humanos;cliente152@empresa708.com
153;141;Analista;Recursos Humanos;cliente153@empresa141.com
154;5;Diretor (a) / Vice Presidente;Recursos Humanos;cliente154@empresa5.com
155;6;Diretor (a) / Vice Presidente;Recursos Humanos;cliente155@empresa6.com
156;8;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente156@empresa8.com
157;12;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente157@empresa12.com
158;16;Analista;Recursos Humanos;cliente158@empresa16.com
159;29;Diretor (a) / Vice Presidente;Recursos Humanos;cliente159@empresa29.com
160;37;Analista;Recursos Humanos;cliente160@empresa37.com
161;48;Analista;Recursos Humanos;cliente161@empresa48.com
162;49;Gerente;Recursos Humanos;cliente162@empresa49.com
163;52;Coordenador (a) / Supervisor (a);Jurídico;cliente163@empresa52.com
164;54;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente164@empresa54.com
165;958;Analista;Recursos Humanos;cliente165@empresa958.com
166;62;Gerente;Recursos Humanos;cliente166@empresa62.com
167;66;Gerente;Recursos Humanos;cliente167@empresa66.com
168;69;Gerente;Recursos Humanos;cliente168@empresa69.com
169;612;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente169@empresa612.com
170;85;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente170@empresa85.com
171;59;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente171@empresa59.com
172;108;Gerente;Recursos Humanos;cliente172@empresa108.com
173;123;Estagiário (a);Recursos Humanos;cliente173@empresa123.com
174;111;Analista;Recursos Humanos;cliente174@empresa111.com
175;112;Consultor (a);Recursos Humanos;cliente175@empresa112.com
176;114;Gerente;Recursos Humanos;cliente176@empresa114.com
177;501;Gerente;Recursos Humanos;cliente177@empresa501.com
178;972;Sócio (a);Presidência;cliente178@empresa972.com
179;541;Gerente;Recursos Humanos;cliente179@empresa541.com
180;121;Gerente;Jurídico;cliente180@empresa121.com
181;50;Diretor (a) / Vice Presidente;Recursos Humanos;cliente181@empresa50.com
182;584;Analista;Recursos Humanos;cliente182@empresa584.com
183;909;Especialista;Recursos Humanos;cliente183@empresa909.com
184;582;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente184@empresa582.com
185;801;Diretor (a) / Vice Presidente;Presidência;cliente185@empresa801.com
186;966;Gerente;Recursos Humanos;cliente186@empresa966.com
187;143;Advogado (a);Jurídico;cliente187@empresa143.com
188;16;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente188@empresa16.com
189;22;Gerente;Recursos Humanos;cliente189@empresa22.com
190;29;Diretor (a) / Vice Presidente;Recursos Humanos;cliente190@empresa29.com
191;34;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente191@empresa34.com
192;37;Analista;Recursos Humanos;cliente192@empresa37.com
193;47;Analista;Recursos Humanos;cliente193@empresa47.com
194;48;Gerente;Recursos Humanos;cliente194@empresa48.com
195;52;Gerente;Recursos Humanos;cliente195@empresa52.com
196;54;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente196@empresa54.com
197;57;Analista;Recursos Humanos;cliente197@empresa57.com
198;94;Diretor (a) / Vice Presidente;Recursos Humanos;cliente198@empresa94.com
199;66;Analista;Recursos Humanos;cliente199@empresa66.com
200;79;Analista;Recursos Humanos;cliente200@empresa79.com
201;1033;Gerente;Administrativo;cliente201@empresa1033.com
202;102;Analista;Recursos Humanos;cliente202@empresa102.com
203;106;Analista;Recursos Humanos;cliente203@empresa106.com
204;799;Gerente;Garantia / Controle de Qualidade;cliente204@empresa799.com
205;790;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente205@empresa790.com
206;541;Gerente;Recursos Humanos;cliente206@empresa541.com
207;118;Gerente;Recursos Humanos;cliente207@empresa118.com
208;121;Gerente;Recursos Humanos;cliente208@empresa121.com
209;132;Gerente de Produto / Brand Manager;Acesso;cliente209@empresa132.com
210;141;Gerente;Recursos Humanos;cliente210@empresa141.com
211;8;Analista;Recursos Humanos;cliente211@empresa8.com
212;22;Gerente;Recursos Humanos;cliente212@empresa22.com
213;30;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente213@empresa30.com
214;37;Gerente;Recursos Humanos;cliente214@empresa37.com
215;49;Gerente;Recursos Humanos;cliente215@empresa49.com
216;862;Diretor (a) / Vice Presidente;Assuntos Regulatórios;cliente216@empresa862.com
217;62;Gerente;Recursos Humanos;cliente217@empresa62.com
218;882;Especialista;Recursos Humanos;cliente218@empresa882.com
219;69;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente219@empresa69.com
220;76;Gerente;Recursos Humanos;cliente220@empresa76.com
221;85;Gerente;Recursos Humanos;cliente221@empresa85.com
222;426;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente222@empresa426.com
223;87;Analista;Recursos Humanos;cliente223@empresa87.com
224;612;Coordenador (a) / Supervisor (a);Engenharia;cliente224@empresa612.com
225;100;Analista;Recursos Humanos;cliente225@empresa100.com
226;59;Estagiário (a);Recursos Humanos;cliente226@empresa59.com
227;102;Analista;Recursos Humanos;cliente227@empresa102.com
228;106;Especialista;Recursos Humanos;cliente228@empresa106.com
229;123;Gerente;Recursos Humanos;cliente229@empresa123.com
230;114;Analista;Administrativo;cliente230@empresa114.com
231;96;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente231@empresa96.com
232;541;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente232@empresa541.com
233;118;Consultor (a);Recursos Humanos;cliente233@empresa118.com
234;1010;Gerente;Assuntos Regulatórios;cliente234@empresa1010.com
235;567;Gerente;Recursos Humanos;cliente235@empresa567.com
236;130;Analista;Recursos Humanos;cliente236@empresa130.com
237;139;Gerente;Recursos Humanos;cliente237@empresa139.com
238;215;Técnico;Recursos Humanos;cliente238@empresa215.com
239;8;Médico (a);Recursos Humanos;cliente239@empresa8.com
240;16;Gerente;Segurança do Trabalho;cliente240@empresa16.com
241;28;Gerente;Recursos Humanos;cliente241@empresa28.com
242;286;Analista;Recursos Humanos;cliente242@empresa286.com
243;47;Técnico;Recursos Humanos;cliente243@empresa47.com
244;62;Gerente;Recursos Humanos;cliente244@empresa62.com
245;65;Gerente;Recursos Humanos;cliente245@empresa65.com
246;100;Analista;Recursos Humanos;cliente246@empresa100.com
247;111;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente247@empresa111.com
248;112;Analista;Recursos Humanos;cliente248@empresa112.com
249;96;Gerente;Segurança do Trabalho;cliente249@empresa96.com
250;567;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente250@empresa567.com
251;5;Gerente;Jurídico;cliente251@empresa5.com
252;215;Analista;Recursos Humanos;cliente252@empresa215.com
253;8;Especialista;Recursos Humanos;cliente253@empresa8.com
254;11;Diretor (a) / Vice Presidente;Recursos Humanos;cliente254@empresa11.com
255;16;Gerente;Recursos Humanos;cliente255@empresa16.com
256;19;Advogado (a);Jurídico;cliente256@empresa19.com
257;92;Gerente;Recursos Humanos;cliente257@empresa92.com
258;28;Advogado (a);Jurídico;cliente258@empresa28.com
259;34;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente259@empresa34.com
260;37;Gerente;Recursos Humanos;cliente260@empresa37.com
261;42;Gerente;Jurídico;cliente261@empresa42.com
262;669;Gerente;Jurídico;cliente262@empresa669.com
263;48;Coordenador (a) / Supervisor (a);Jurídico;cliente263@empresa48.com
264;57;Advogado (a);Jurídico;cliente264@empresa57.com
265;62;Advogado (a);Jurídico;cliente265@empresa62.com
266;65;Advogado (a);Jurídico;cliente266@empresa65.com
267;106;Advogado (a);Jurídico;cliente267@empresa106.com
268;807;Gerente;Jurídico;cliente268@empresa807.com
269;118;Advogado (a);Jurídico;cliente269@empresa118.com
270;129;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente270@empresa129.com
271;19;Gerente Logística;Logistica;cliente271@empresa19.com
272;30;Gerente de Supply Chain;Supply Chain;cliente272@empresa30.com
273;47;GERENTE D EPLANEJAMENTO INTEGRADO E LOGÍSTICA;PLANEJAMENTO INTEGRADO E LOGÍSTICA;cliente273@empresa47.com
274;54;Coordenador de Logistica;Logistica;cliente274@empresa54.com
275;60;Analista Pessoas e Gestão Pl;Remuneração;cliente275@empresa60.com
276;69;Gerente de Logistica;Logistica;cliente276@empresa69.com
277;76;Gerente de Logística e Distribuição Sr;Logística;cliente277@empresa76.com
278;426;Gerente de Logística e PCP;Logística e PCP;cliente278@empresa426.com
279;59;Analista de Remuneração de Benefícios ;Recursos Humanos;cliente279@empresa59.com
280;111;COORDENADO REMUNERAÇÃO;REMUNERAÇÃO;cliente280@empresa111.com
281;737;Coordenador de Suprimentos;Supply Chain Departament;cliente281@empresa737.com
282;114;Gerente de Supply Chain;Supply Chain;cliente282@empresa114.com
283;541;DIRETOR ADJUNTO DE SUPPLY CHAIN;SUPPLY CHAIN;cliente283@empresa541.com
284;121;Gerente de Qualidade & HSE;Qualidade Supply Chain ;cliente284@empresa121.com
285;584;Gerente; Logística;cliente285@empresa584.com
286;127;gerente logistica;Logistica;cliente286@empresa127.com
287;128;Gerente de Supply Chain;Supply Chain;cliente287@empresa128.com
288;130;Gerente RH;RH;cliente288@empresa130.com
289;8;Analista;Recursos Humanos;cliente289@empresa8.com
290;42;Gerente;Recursos Humanos;cliente290@empresa42.com
291;49;Analista;Recursos Humanos;cliente291@empresa49.com
292;54;Analista;Recursos Humanos;cliente292@empresa54.com
293;106;Gerente;Recursos Humanos;cliente293@empresa106.com
294;909;Analista;Manutenção;cliente294@empresa909.com
295;141;Analista;Recursos Humanos;cliente295@empresa141.com
296;8;Analista;Recursos Humanos;cliente296@empresa8.com
297;33;Analista;Recursos Humanos;cliente297@empresa33.com
298;90;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente298@empresa90.com
299;34;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente299@empresa34.com
300;40;Analista;Recursos Humanos;cliente300@empresa40.com
301;47;Especialista;Recursos Humanos;cliente301@empresa47.com
302;62;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente302@empresa62.com
303;73;Coordenador (a) / Supervisor (a);Recursos Humanos;cliente303@empresa73.com
304;612;Analista;Recursos Humanos;cliente304@empresa612.com
305;633;Analista;Recursos Humanos;cliente305@empresa633.com
306;106;Analista;Recursos Humanos;cliente306@empresa106.com
307;1089;Analista;Recursos Humanos;cliente307@empresa1089.com
308;582;Analista;Recursos Humanos;cliente308@empresa582.com
309;5;Coordenador (a) / Supervisor (a);Assuntos Regulatórios;cliente309@empresa5.com
310;6;Especialista;SAC;cliente310@empresa6.com
311;215;Coordenador (a) / Supervisor (a);Farmacovigilância;cliente311@empresa215.com
312;7;Analista;SAC;cliente312@empresa7.com
313;8;Gerente;SAC;cliente313@empresa8.com
314;142;Coordenador (a) / Supervisor (a);SAC;cliente314@empresa142.com
315;579;Gerente;Garantia / Controle de Qualidade;cliente315@empresa579.com
316;234;Farmacêutico (a) Responsável;SAC;cliente316@empresa234.com
317;10;Gerente;Médico;cliente317@empresa10.com
318;64;Analista;SAC;cliente318@empresa64.com
319;1022;Diretor (a) / Vice Presidente;Assuntos Regulatórios;cliente319@empresa1022.com
320;12;Coordenador (a) / Supervisor (a);SAC;cliente320@empresa12.com
321;16;Coordenador (a) / Supervisor (a);SAC;cliente321@empresa16.com
322;17;Coordenador (a) / Supervisor (a);Garantia / Controle de Qualidade;cliente322@empresa17.com
323;256;Coordenador (a) / Supervisor (a);SAC;cliente323@empresa256.com
324;18;Gerente;SAC;cliente324@empresa18.com
325;19;Coordenador (a) / Supervisor (a);SAC;cliente325@empresa19.com
326;92;Coordenador (a) / Supervisor (a);Garantia / Controle de Qualidade;cliente326@empresa92.com
327;1163;Assistente / Assessor (a) / Auxiliar;SAC;cliente327@empresa1163.com
328;93;Coordenador (a) / Supervisor (a);Assuntos Regulatórios;cliente328@empresa93.com
329;33;Coordenador (a) / Supervisor (a);SAC;cliente329@empresa33.com
330;23;Coordenador (a) / Supervisor (a);SAC;cliente330@empresa23.com
331;25;Assistente / Assessor (a) / Auxiliar;Assuntos Regulatórios;cliente331@empresa25.com
332;649;Farmacêutico (a) Responsável;Farmacovigilância;cliente332@empresa649.com
333;28;Coordenador (a) / Supervisor (a);SAC;cliente333@empresa28.com
334;30;Analista;Farmacovigilância;cliente334@empresa30.com
335;658;Coordenador (a) / Supervisor (a);SAC;cliente335@empresa658.com
336;34;Coordenador (a) / Supervisor (a);SAC;cliente336@empresa34.com
337;37;Coordenador (a) / Supervisor (a);SAC;cliente337@empresa37.com
338;39;Especialista;Farmacovigilância;cliente338@empresa39.com
339;40;Coordenador (a) / Supervisor (a);SAC;cliente339@empresa40.com
340;41;Analista;Garantia / Controle de Qualidade;cliente340@empresa41.com
341;610;Analista;SAC;cliente341@empresa610.com
342;669;Analista;Garantia / Controle de Qualidade;cliente342@empresa669.com
343;47;Coordenador (a) / Supervisor (a);SAC;cliente343@empresa47.com
344;48;Gerente;Farmacovigilância;cliente344@empresa48.com
345;49;Analista;SAC;cliente345@empresa49.com
346;52;Coordenador (a) / Supervisor (a);SAC;cliente346@empresa52.com
347;53;Farmacêutico (a) Responsável;Farmacovigilância;cliente347@empresa53.com
348;54;Analista;SAC;cliente348@empresa54.com
349;793;Diretor (a) / Vice Presidente;Industrial / Produção;cliente349@empresa793.com
350;55;Gerente;Garantia / Controle de Qualidade;cliente350@empresa55.com
351;56;Analista;Garantia / Controle de Qualidade;cliente351@empresa56.com
352;1145;Coordenador (a) / Supervisor (a);Garantia / Controle de Qualidade;cliente352@empresa1145.com
353;811;Analista;Assuntos Regulatórios;cliente353@empresa811.com
354;60;Gerente;SAC;cliente354@empresa60.com
355;62;Coordenador (a) / Supervisor (a);SAC;cliente355@empresa62.com
356;715;Analista;SAC;cliente356@empresa715.com
357;749;Coordenador (a) / Supervisor (a);SAC;cliente357@empresa749.com
358;65;Coordenador (a) / Supervisor (a);Garantia / Controle de Qualidade;cliente358@empresa65.com
359;94;Analista;Farmacovigilância;cliente359@empresa94.com
360;66;Coordenador (a) / Supervisor (a);SAC;cliente360@empresa66.com
361;69;Coordenador (a) / Supervisor (a);Farmacovigilância;cliente361@empresa69.com
362;72;Médico (a);SAC;cliente362@empresa72.com
363;670;Gerente;Garantia / Controle de Qualidade;cliente363@empresa670.com
364;77;Gerente;Farmacovigilância;cliente364@empresa77.com
365;1041;Analista;Farmacovigilância;cliente365@empresa1041.com
366;79;Gerente;SAC;cliente366@empresa79.com
367;80;Coordenador (a) / Supervisor (a);SAC;cliente367@empresa80.com
368;81;Analista;Garantia / Controle de Qualidade;cliente368@empresa81.com
369;416;Farmacêutico (a) Responsável;Assuntos Regulatórios;cliente369@empresa416.com
370;759;Gerente;Industrial / Produção;cliente370@empresa759.com
371;661;Farmacêutico (a) Responsável;Farmacovigilância;cliente371@empresa661.com
372;83;Coordenador (a) / Supervisor (a);SAC;cliente372@empresa83.com
373;1154;Diretor (a) / Vice Presidente;Garantia / Controle de Qualidade;cliente373@empresa1154.com
374;426;Analista;Garantia / Controle de Qualidade;cliente374@empresa426.com
375;1032;Gerente;Garantia / Controle de Qualidade;cliente375@empresa1032.com
376;24;Gerente;Farmacovigilância;cliente376@empresa24.com
377;87;Gerente;Assuntos Regulatórios;cliente377@empresa87.com
378;89;Gerente;SAC;cliente378@empresa89.com
379;1043;Farmacêutico (a) Responsável;Farmacovigilância;cliente379@empresa1043.com
380;88;Gerente;SAC;cliente380@empresa88.com
381;612;Analista;SAC;cliente381@empresa612.com
382;454;Analista;Farmacovigilância;cliente382@empresa454.com
383;100;Coordenador (a) / Supervisor (a);SAC;cliente383@empresa100.com
384;102;Analista;Farmacovigilância;cliente384@empresa102.com
385;967;Coordenador (a) / Supervisor (a);Assuntos Regulatórios;cliente385@empresa967.com
386;633;Analista;Garantia / Controle de Qualidade;cliente386@empresa633.com
387;106;Gerente;SAC;cliente387@empresa106.com
388;475;Coordenador (a) / Supervisor (a);Farmacovigilância;cliente388@empresa475.com
389;108;Analista;Farmacovigilância;cliente389@empresa108.com
390;123;Gerente;SAC;cliente390@empresa123.com
391;110;Gerente;Farmacovigilância;cliente391@empresa110.com
392;111;Analista;SAC;cliente392@empresa111.com
393;737;Analista;Assuntos Regulatórios;cliente393@empresa737.com
394;1089;Analista;Assuntos Regulatórios;cliente394@empresa1089.com
395;112;Coordenador (a) / Supervisor (a);Garantia / Controle de Qualidade;cliente395@empresa112.com
396;114;Coordenador (a) / Supervisor (a);SAC;cliente396@empresa114.com
397;501;Gerente;SAC;cliente397@empresa501.com
398;851;Coordenador (a) / Supervisor (a);SAC;cliente398@empresa851.com
399;95;Presidente;Garantia / Controle de Qualidade;cliente399@empresa95.com
400;96;Gerente;SAC;cliente400@empresa96.com
401;790;Assistente / Assessor (a) / Auxiliar;SAC;cliente401@empresa790.com
402;1072;Trainee;Garantia / Controle de Qualidade;cliente402@empresa1072.com
403;538;Gerente;Assuntos Regulatórios;cliente403@empresa538.com
404;541;Analista;Farmacovigilância;cliente404@empresa541.com
405;884;Gerente;Médico;cliente405@empresa884.com
406;782;Gerente;Assuntos Regulatórios;cliente406@empresa782.com
407;1085;Analista;SAC;cliente407@empresa1085.com
408;118;Analista;SAC;cliente408@empresa118.com
409;118;Gerente;SAC;cliente409@empresa118.com
410;121;Gerente;SAC;cliente410@empresa121.com
411;50;Farmacêutico (a) Responsável;Técnico-Científico;cliente411@empresa50.com
412;584;Coordenador (a) / Supervisor (a);Farmacovigilância;cliente412@empresa584.com
